,Name,Year,Duration,Rated,Score,Metascore
74, The Batman,2022,2h 56m,PG-13,7.8,72
75, Inside Out,2015,1h 35m,PG,8.1,94
76, Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,7.7,81
77, Where the Crawdads Sing,2022,2h 5m,PG-13,7.2,43
78, Saltburn,2023,2h 11m,R,7.0,61
79, Damsel,2024,1h 50m,PG-13,6.1,46
80, Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,5.6,31
81, Wonka,2023,1h 56m,PG,7.0,66
82, Arthur the King,2024,1h 47m,PG-13,7.0,54
83, Killers of the Flower Moon,2023,3h 26m,R,7.6,89
84, Gladiator,2000,2h 35m,R,8.5,67
85, Love,2015,2h 15m,TV-MA,6.1,51
86, Inception,2010,2h 28m,PG-13,8.8,74
87, Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,7.6,65
88, The Dark Knight,2008,2h 32m,PG-13,9.0,84
89, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,92
90, The Hunger Games,2012,2h 22m,PG-13,7.2,68
91, Young Woman and the Sea,2024,2h 9m,PG,7.6,63
92, Wish,2023,1h 35m,PG,5.6,47
93, Reunion,2024,1h 30m,R,5.5,0
94, Midsommar,2019,2h 28m,R,7.1,72
95, The Dead Don't Hurt,2023,2h 9m,R,6.7,67
96, The Wolf of Wall Street,2013,3h,R,8.2,75
97, Fresh,2022,1h 54m,R,6.7,67
98, Blade Runner 2049,2017,2h 44m,R,8.0,81
99,. Perfect Days,2023,2h 4m,PG,7.9,80
100,. Upgrade,2018,1h 40m,R,7.5,67
101,. Tenet,2020,2h 30m,PG-13,7.3,69
102,. About Time,2013,2h 3m,R,7.8,55
103,. Land of Bad,2024,1h 53m,R,6.5,57
104,. Security,2017,1h 28m,R,5.7,0
105,. Deadpool,2016,1h 48m,R,8.0,65
106,. No Time to Die,2021,2h 43m,PG-13,7.3,68
107,. Glass Onion,2022,2h 19m,PG-13,7.1,81
108,. Her,2013,2h 6m,R,8.0,91
109,. Hereditary,2018,2h 7m,R,7.3,87
110,. Babes,2024,1h 44m,R,6.6,74
111,. Incendies,2010,2h 11m,R,8.3,80
112,. No Hard Feelings,2023,1h 43m,R,6.4,59
113,. Parasite,2019,2h 12m,R,8.5,97
114,. Knox Goes Away,2023,1h 54m,R,6.9,54
115,. 28 Days Later,2002,1h 53m,R,7.5,73
116,. Rebel Moon - Part Two: The Scargiver,2024,2h 2m,PG-13,5.2,35
117,". The Gangster, the Cop, the Devil",2019,1h 49m,Not Rated,6.9,65
118,. Arcadian,2024,1h 32m,R,5.5,60
119,. Barbarian,2022,1h 42m,R,7.0,78
120,. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6,86
121,. Blue Beetle,2023,2h 7m,PG-13,6.0,61
122,. Inglourious Basterds,2009,2h 33m,R,8.4,69
123,. All of Us Strangers,2023,1h 45m,R,7.7,90
124,. The Menu,2022,1h 47m,R,7.2,71
125,. Dream Scenario,2023,1h 42m,R,6.9,74
126,. Fall,2022,1h 47m,PG-13,6.4,62
127,. Avengers: Endgame,2019,3h 1m,PG-13,8.4,78
128,. Turtles All the Way Down,2024,1h 51m,PG-13,6.7,64
