,Name,Year,Duration,Rated,Score,Metascore
1340,1. Robots,2005,1h 31m,PG,6.4,64
1341,2. Coming 2 America,2021,1h 50m,PG-13,5.3,52
1342,3. No Strings Attached,2011,1h 48m,R,6.2,50
1343,4. Oz the Great and Powerful,2013,2h 10m,PG,6.3,44
1344,5. Treasure Planet,2002,1h 35m,PG,7.2,60
1345,6. Fast & Furious 6,2013,2h 10m,PG-13,7.0,61
1346,7. Marriage Story,2019,2h 17m,R,7.9,94
1347,8. Moonrise Kingdom,2012,1h 34m,PG-13,7.8,84
1348,9. Prince of Persia: The Sands of Time,2010,1h 56m,PG-13,6.6,50
1349,0. Night Hunter,2018,1h 38m,R,5.9,31
1350,1. Trainwreck,2015,2h 5m,R,6.2,75
1351,2. Quantum of Solace,2008,1h 46m,PG-13,6.5,58
1352,3. Downton Abbey: A New Era,2022,2h 4m,PG,7.4,63
1353,4. Evil Dead,2013,1h 31m,R,6.5,57
1354,5. Anchorman: The Legend of Ron Burgundy,2004,1h 34m,PG-13,7.1,63
1355,6. The End We Start From,2023,1h 42m,R,5.9,65
1356,7. Jersey Boys,2014,2h 14m,R,6.8,54
1357,8. American Star,2024,1h 47m,R,5.4,66
1358,9. 47 Meters Down,2017,1h 29m,PG-13,5.6,52
1359,0. Scary Movie 2,2001,1h 23m,R,5.3,29
1360,1. Dumb and Dumber To,2014,1h 49m,PG-13,5.6,36
1361,2. The Other Woman,2014,1h 49m,PG-13,6.0,39
1362,3. God's Own Country,2017,1h 44m,Not Rated,7.6,85
1363,4. Puppy Love,2023,1h 46m,R,6.3,0
1364,5. Elysium,2013,1h 49m,R,6.6,61
1365,6. Smokin' Aces,2006,1h 48m,R,6.6,45
1366,7. High Fidelity,2000,1h 53m,R,7.4,79
1367,8. The Descendants,2011,1h 55m,R,7.3,84
1368,9. Southpaw,2015,2h 4m,R,7.3,57
1369,0. Sleepless,2017,1h 35m,R,5.6,34
1370,1. The Twilight Saga: Eclipse,2010,2h 4m,PG-13,5.1,58
1371,2. The Other Zoey,2023,1h 31m,PG-13,5.9,0
1372,3. Tár,2022,2h 38m,R,7.4,93
1373,4. Chaos Walking,2021,1h 49m,PG-13,5.7,38
1374,5. Suncoast,2024,1h 49m,R,6.6,61
1375,6. A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.1,78
1376,7. Hot Tub Time Machine,2010,1h 39m,R,6.4,63
1377,8. Disobedience,2017,1h 54m,R,6.6,74
1378,9. Boston Strangler,2023,1h 52m,R,6.5,58
1379,0. Deer Camp '86,2022,1h 25m,R,8.4,0
1380,1. Planet Terror,2007,1h 45m,R,7.0,0
1381,2. Hairspray,2007,1h 57m,PG,6.7,81
1382,3. Finding Dory,2016,1h 37m,PG,7.2,77
1383,4. The Ides of March,2011,1h 41m,R,7.1,67
1384,"5. Are You There God? It's Me, Margaret.",2023,1h 46m,PG-13,7.3,84
1385,6. Lord of War,2005,2h 2m,R,7.6,62
1386,7. Match Point,2005,2h 4m,R,7.6,72
1387,8. 22 Jump Street,2014,1h 52m,R,7.0,71
1388,9. Jupiter Ascending,2015,2h 7m,PG-13,5.3,40
1389,0. Nimona,2023,1h 41m,PG,7.5,75
1390,1. Charlie's Angels,2000,1h 38m,PG-13,5.6,52
1391,2. Only God Forgives,2013,1h 30m,R,5.7,37
1392,3. Paul,2011,1h 44m,R,6.9,57
1393,4. The Mauritanian,2021,2h 9m,R,7.5,53
1394,5. Sex Tape,2014,1h 34m,R,5.1,36
1395,6. Logan Lucky,2017,1h 58m,PG-13,7.0,78
1396,7. Cold Mountain,2003,2h 34m,R,7.2,73
1397,8. The Hurt Locker,2008,2h 11m,R,7.5,95
1398,9. Hitman,2007,1h 34m,R,6.2,35
1399,0. The Homesman,2014,2h 2m,R,6.6,68
1400,1. Ghost in the Shell,2017,1h 47m,PG-13,6.3,52
1401,2. Queenpins,2021,1h 50m,R,6.4,45
1402,3. Hulk,2003,2h 18m,PG-13,5.6,54
1403,4. The Sweet East,2023,1h 44m,No,6.5,62
1404,5. Darkest Hour,2017,2h 5m,PG-13,7.4,75
1405,6. Secondhand Lions,2003,1h 49m,PG,7.5,52
1406,7. The Boogeyman,2023,1h 38m,PG-13,5.9,55
1407,8. Father Stu,2022,2h 4m,PG-13,6.5,40
1408,9. First Man,2018,2h 21m,PG-13,7.3,84
1409,0. 9,2009,1h 19m,PG-13,7.0,60
1410,1. Lara Croft: Tomb Raider,2001,1h 40m,PG-13,5.8,33
1411,2. The Listener,2022,1h 36m,No,5.5,64
1412,3. Red Dragon,2002,2h 4m,R,7.2,60
1413,4. Mysterious Skin,2004,1h 45m,Unrated,7.6,74
1414,5. Escape Room,2019,1h 39m,PG-13,6.4,48
1415,6. Retribution,2023,1h 31m,R,5.3,43
1416,7. Hancock,2008,1h 32m,R,6.4,49
1417,8. PAW Patrol: The Mighty Movie,2023,1h 28m,PG,5.9,49
1418,9. Space Cowboys,2000,2h 10m,PG-13,6.5,73
1419,0. Paradise,2023,1h 57m,TV-MA,6.3,0
1420,1. Burnt,2015,1h 41m,R,6.6,42
1421,2. Freaky,2020,1h 42m,R,6.3,67
1422,3. Master and Commander: The Far Side of the World,2003,2h 18m,PG-13,7.5,81
1423,4. Predators,2010,1h 47m,R,6.4,51
1424,5. Hercules,2014,1h 38m,PG-13,6.0,47
1425,6. The Lego Batman Movie,2017,1h 44m,PG,7.3,75
1426,7. Pokémon: Detective Pikachu,2019,1h 44m,PG,6.5,53
1427,8. Deepwater Horizon,2016,1h 47m,PG-13,7.1,68
1428,9. The Courier,2020,1h 52m,PG-13,7.2,65
1429,0. The Invitation,2015,1h 40m,Not Rated,6.6,74
1430,1. Wanderlust,2012,1h 38m,R,5.6,53
1431,2. Mechanic: Resurrection,2016,1h 38m,R,5.7,38
1432,3. Fantastic Four,2005,1h 46m,PG-13,5.7,40
1433,4. Eurovision Song Contest: The Story of Fire Saga,2020,2h 3m,PG-13,6.5,50
1434,5. Pitch Perfect 2,2015,1h 55m,PG-13,6.4,63
1435,6. Mona Lisa Smile,2003,1h 57m,PG-13,6.6,45
1436,7. Focus,2015,1h 45m,R,6.6,56
1437,8. Snow White and the Huntsman,2012,2h 7m,PG-13,6.1,57
1438,9. Patriots Day,2016,2h 13m,R,7.3,69
1439,0. Dogville,2003,2h 58m,R,8.0,61
1440,1. Tinker Tailor Soldier Spy,2011,2h 7m,R,7.0,85
1441,2. Jurassic Park III,2001,1h 32m,PG-13,5.9,42
1442,3. Fracture,2007,1h 53m,R,7.2,68
1443,4. The Fate of the Furious,2017,2h 16m,PG-13,6.6,56
1444,5. Cheaper by the Dozen,2003,1h 38m,PG,5.9,46
1445,6. Memory,2022,1h 54m,R,5.7,41
1446,"7. The Way, My Way",2024,1h 38m,No,6.8,0
1447,8. Revolver,2005,1h 51m,R,6.3,25
1448,9. Captain Phillips,2013,2h 14m,PG-13,7.8,82
1449,0. Machete,2010,1h 45m,R,6.6,60
1450,1. The Guernsey Literary and Potato Peel Pie Society,2018,2h 4m,TV-14,7.3,65
1451,2. Walk the Line,2005,2h 16m,PG-13,7.8,72
1452,3. I'm Thinking of Ending Things,2020,2h 14m,R,6.5,78
1453,4. The Terminal,2004,2h 8m,PG-13,7.4,55
1454,5. You Are So Not Invited to My Bat Mitzvah,2023,1h 43m,PG-13,6.0,71
1455,6. Taken 3,2014,1h 48m,PG-13,6.0,26
1456,7. Creed,2015,2h 13m,PG-13,7.6,82
1457,8. The Wrong Missy,2020,1h 30m,TV-MA,5.8,33
1458,9. Murder Mystery,2019,1h 37m,PG-13,6.0,38
1459,0. Resident Evil: Welcome to Raccoon City,2021,1h 47m,R,5.2,44
1460,1. Set It Up,2018,1h 45m,TV-14,6.5,62
1461,2. Do Revenge,2022,1h 58m,TV-MA,6.3,66
1462,3. Terminator Salvation,2009,1h 55m,PG-13,6.5,49
1463,4. The Punisher,2004,2h 4m,R,6.4,33
1464,5. Burlesque,2010,1h 59m,PG-13,6.4,47
1465,6. Hellraiser,2022,2h 1m,R,5.9,55
1466,7. Sleeping with Other People,2015,1h 41m,R,6.5,64
1467,8. Queen of the Damned,2002,1h 41m,R,5.3,30
1468,9. Joy Ride,2023,1h 35m,R,6.4,74
1469,0. Frozen II,2019,1h 43m,PG,6.8,64
1470,1. Origin,2023,2h 21m,PG-13,7.2,75
1471,2. The Bourne Supremacy,2004,1h 48m,PG-13,7.7,73
1472,3. Jungle Cruise,2021,2h 7m,PG-13,6.6,50
1473,4. Phantom Thread,2017,2h 10m,R,7.4,90
1474,5. Lawless,2012,1h 56m,R,7.2,58
1475,6. Good Time,2017,1h 42m,R,7.3,80
1476,7. Mud,2012,2h 10m,PG-13,7.4,76
1477,8. Mary Poppins Returns,2018,2h 10m,PG,6.7,66
1478,9. The Texas Chainsaw Massacre,2003,1h 38m,R,6.2,38
1479,0. Race for Glory: Audi vs. Lancia,2024,1h 49m,R,5.8,51
1480,1. Rock of Ages,2012,2h 3m,PG-13,5.9,47
1481,2. Madagascar: Escape 2 Africa,2008,1h 29m,PG,6.6,61
1482,3. Paddington,2014,1h 35m,PG,7.3,77
1483,4. The Book of Eli,2010,1h 58m,R,6.8,53
1484,5. Wanted,2008,1h 50m,R,6.7,64
1485,6. The Scorpion King,2002,1h 32m,PG-13,5.5,45
1486,7. Code 8: Part II,2024,1h 40m,TV-MA,5.7,40
1487,8. Now You See Me 2,2016,2h 9m,PG-13,6.4,46
1488,9. The Taking of Deborah Logan,2014,1h 30m,R,6.0,0
1489,0. Enchanted,2007,1h 47m,PG,7.1,75
1490,1. Rumours,2024,1h 58m,No,7.3,71
1491,2. Road to Perdition,2002,1h 57m,R,7.7,72
1492,3. Ice Age: Continental Drift,2012,1h 28m,PG,6.5,49
1493,4. About My Father,2023,1h 30m,PG-13,5.7,39
1494,5. The King's Speech,2010,1h 58m,R,8.0,88
1495,6. The Harder They Fall,2021,2h 19m,R,6.6,68
1496,7. Chronicle,2012,1h 24m,PG-13,7.0,69
1497,8. Good Boys,2019,1h 30m,R,6.7,0
1498,9. Allegiant,2016,2h,PG-13,5.7,33
1499,0. The Circle,2017,1h 50m,PG-13,5.4,43
1500,1. Pineapple Express,2008,1h 51m,R,6.9,64
1501,2. The Witches,2020,1h 46m,PG,5.4,47
1502,3. Megamind,2010,1h 35m,PG,7.3,63
1503,4. Hell House LLC,2015,1h 33m,Not Rated,6.4,0
1504,5. Lamborghini: The Man Behind the Legend,2022,1h 37m,R,5.4,0
1505,6. Austin Powers in Goldmember,2002,1h 34m,PG-13,6.2,62
1506,7. The Ugly Truth,2009,1h 36m,R,6.4,28
1507,8. High Tension,2003,1h 31m,R,6.7,42
1508,9. American Honey,2016,2h 43m,R,7.0,80
1509,0. Lou,2022,1h 47m,R,6.1,51
1510,1. Hotel Transylvania,2012,1h 31m,PG,7.0,47
1511,2. Justice League: Crisis on Infinite Earths - Part Two,2024,1h 34m,PG-13,5.5,0
1512,3. What Lies Beneath,2000,2h 10m,PG-13,6.6,51
1513,4. Pig,2021,1h 32m,R,6.9,82
1514,5. Warcraft,2016,2h 3m,PG-13,6.7,32
1515,6. Killer Body Count,2024,1h 49m,No,5.5,0
1516,7. Backspot,2023,1h 33m,No,6.9,0
1517,8. Saving Mr. Banks,2013,2h 5m,PG-13,7.5,65
1518,9. Butcher's Crossing,2022,1h 45m,R,5.6,55
1519,0. Late Bloomers,2023,1h 29m,No,7.7,58
1520,1. Den of Thieves,2018,2h 20m,R,7.0,49
1521,2. Hunt for the Wilderpeople,2016,1h 41m,PG-13,7.8,81
1522,3. Decision to Leave,2022,2h 19m,Not Rated,7.3,85
1523,4. Moon,2009,1h 37m,R,7.8,67
1524,5. Silence,2016,2h 41m,R,7.2,79
1525,6. Mrs. Harris Goes to Paris,2022,1h 55m,PG,7.1,70
1526,7. Straight Outta Compton,2015,2h 27m,R,7.8,72
1527,8. Green Room,2015,1h 35m,R,7.0,79
1528,9. The Last House on the Left,2009,1h 50m,R,6.5,42
1529,0. Booksmart,2019,1h 42m,R,7.1,84
1530,1. Munich,2005,2h 44m,R,7.5,74
1531,2. My Sister's Keeper,2009,1h 49m,PG-13,7.3,51
1532,3. Intimacy,2001,1h 59m,Unrated,6.0,69
1533,4. Before Sunset,2004,1h 20m,R,8.1,91
1534,5. Taylor Swift: The Eras Tour,2023,2h 49m,PG-13,8.0,82
1535,6. Frailty,2001,1h 40m,R,7.2,64
1536,7. Licorice Pizza,2021,2h 13m,R,7.1,90
1537,8. The Outpost,2019,2h 3m,R,6.8,71
1538,9. Thor: The Dark World,2013,1h 52m,PG-13,6.8,54
1539,0. Shrek Forever After,2010,1h 33m,PG,6.3,58
1540,1. Happiness for Beginners,2023,1h 43m,TV-14,6.1,48
1541,2. Geostorm,2017,1h 49m,PG-13,5.3,21
1542,3. End of Watch,2012,1h 49m,R,7.6,68
1543,4. Knight and Day,2010,1h 49m,PG-13,6.3,46
1544,5. 28 Days,2000,1h 43m,PG-13,6.1,46
1545,6. Like Father,2018,1h 38m,TV-MA,6.1,52
1546,7. Ella Enchanted,2004,1h 36m,PG,6.3,53
1547,8. The Bourne Ultimatum,2007,1h 55m,PG-13,8.0,85
1548,9. Enemy at the Gates,2001,2h 11m,R,7.5,53
1549,0. The 5th Wave,2016,1h 52m,PG-13,5.2,33
1550,1. Kick-Ass 2,2013,1h 43m,R,6.5,41
1551,2. Rango,2011,1h 47m,PG,7.3,75
1552,3. The Retirement Plan,2023,1h 43m,R,5.1,0
1553,4. Self Reliance,2023,1h 25m,R,6.1,59
1554,5. Olympus Has Fallen,2013,1h 59m,R,6.5,41
1555,6. Trolls World Tour,2020,1h 31m,PG,6.1,51
1556,7. Priest,2011,1h 27m,PG-13,5.7,41
1557,8. On the Basis of Sex,2018,2h,PG-13,7.1,59
1558,9. Zathura: A Space Adventure,2005,1h 41m,PG,6.3,67
1559,0. Bronson,2008,1h 32m,R,7.0,71
1560,1. The Ruins,2008,1h 30m,R,5.9,44
1561,2. Out of Darkness,2022,1h 28m,R,5.5,68
1562,3. The Square,2017,2h 31m,R,7.1,73
1563,4. 127 Hours,2010,1h 34m,R,7.5,82
1564,5. Rambo,2008,1h 32m,R,7.0,46
1565,6. The Lorax,2012,1h 26m,PG,6.4,46
1566,7. Enter the Void,2009,2h 41m,Not Rated,7.2,69
1567,8. Family Switch,2023,1h 46m,PG,5.7,37
1568,9. Gunpowder Milkshake,2021,1h 54m,R,6.1,47
1569,0. Alien vs. Predator,2004,1h 41m,PG-13,5.7,29
1570,1. The Family,2013,1h 51m,R,6.3,42
1571,2. Terminator 3: Rise of the Machines,2003,1h 49m,R,6.3,66
1572,3. Happy Death Day,2017,1h 36m,PG-13,6.6,58
1573,4. Marry Me,2022,1h 52m,PG-13,6.1,51
1574,5. Annabelle,2014,1h 39m,R,5.4,37
1575,6. Killing Me Softly,2002,1h 40m,Unrated,5.4,0
1576,7. Insidious: The Red Door,2023,1h 47m,PG-13,5.5,45
1577,8. Meet the Parents,2000,1h 48m,PG-13,7.0,73
1578,9. Cold Pursuit,2019,1h 59m,R,6.2,57
1579,0. Sin City: A Dame to Kill For,2014,1h 42m,R,6.5,46
1580,1. View from the Top,2003,1h 27m,PG-13,5.3,27
1581,2. Burning,2018,2h 28m,Not Rated,7.5,91
1582,3. Under the Tuscan Sun,2003,1h 53m,PG-13,6.7,52
1583,4. Instant Family,2018,1h 58m,PG-13,7.3,57
1584,"5. Good Luck to You, Leo Grande",2022,1h 37m,R,7.2,78
1585,6. Something's Gotta Give,2003,2h 8m,PG-13,6.7,66
1586,7. Blockers,2018,1h 42m,R,6.2,69
1587,8. Marrowbone,2017,1h 50m,R,6.7,63
1588,9. Rust Creek,2018,1h 48m,R,5.9,59
1589,0. A Ghost Story,2017,1h 32m,R,6.8,84
1590,1. Anna Karenina,2012,2h 9m,R,6.6,63
1591,2. The Theory of Everything,2014,2h 3m,PG-13,7.7,71
1592,3. Last Knights,2015,1h 55m,R,6.2,27
1593,4. Red Right Hand,2024,1h 51m,No,5.4,48
1594,5. Sanctuary,2022,1h 36m,R,6.3,67
1595,6. Locked In,2023,1h 36m,TV-MA,5.1,0
1596,7. 3:10 to Yuma,2007,2h 2m,R,7.6,76
1597,8. Monolith,2022,1h 34m,R,5.9,61
1598,9. The Art of Racing in the Rain,2019,1h 49m,PG,7.6,43
1599,0. We're All Going to the World's Fair,2021,1h 26m,R,5.4,78
1600,1. The Wonder,2022,1h 48m,R,6.6,71
1601,2. Mr. Nobody,2009,2h 21m,R,7.7,63
1602,3. Paint,2023,1h 36m,PG-13,5.0,45
1603,4. The Postcard Killings,2020,1h 44m,Not Rated,5.8,29
1604,5. The Fighter,2010,1h 56m,R,7.8,79
1605,6. Wild,2014,1h 55m,R,7.1,74
1606,7. Lee,2023,1h 56m,R,7.0,59
1607,8. Dangerous,2021,1h 39m,R,5.2,27
1608,9. Fear Street: Part One - 1994,2021,1h 47m,R,6.2,67
1609,0. It Comes at Night,2017,1h 31m,R,6.2,78
1610,1. Grandma's Boy,2006,1h 34m,R,6.9,33
1611,2. Miss Congeniality,2000,1h 49m,PG-13,6.3,43
1612,3. Last Moment of Clarity,2020,1h 30m,R,5.2,0
1613,4. Seven Psychopaths,2012,1h 50m,R,7.1,66
1614,5. A Million Ways to Die in the West,2014,1h 56m,R,6.1,44
1615,6. Freaky Friday,2003,1h 37m,PG,6.3,70
1616,7. Carrie,2013,1h 40m,R,5.8,53
1617,8. Morgan,2016,1h 32m,R,5.8,48
1618,9. Heartbreakers,2001,2h 3m,PG-13,6.2,47
1619,0. Cloudy with a Chance of Meatballs,2009,1h 30m,PG,6.9,66
1620,1. How to Train Your Dragon: The Hidden World,2019,1h 44m,PG,7.4,71
1621,2. Ghost Ship,2002,1h 31m,R,5.6,28
1622,3. John Tucker Must Die,2006,1h 29m,PG-13,5.7,41
1623,4. Shotgun Wedding,2022,1h 41m,R,5.5,46
1624,5. One More Shot,2024,1h 43m,R,5.4,0
1625,6. Joy,2015,2h 4m,PG-13,6.6,56
1626,7. The Heat,2013,1h 57m,R,6.6,60
1627,8. Shark Tale,2004,1h 30m,PG,6.0,48
1628,9. Adore,2013,1h 52m,R,6.2,37
1629,0. Bad Teacher,2011,1h 32m,R,5.7,47
1630,1. Dark Shadows,2012,1h 53m,PG-13,6.2,55
1631,2. Into the Woods,2014,2h 5m,PG,5.9,69
1632,3. Flags of Our Fathers,2006,2h 15m,R,7.1,79
1633,4. Nacho Libre,2006,1h 32m,PG,5.9,52
1634,5. Murder Mystery 2,2023,1h 30m,PG-13,5.7,44
1635,6. The Beguiled,2017,1h 33m,R,6.3,77
1636,7. Club Zero,2023,1h 50m,No,5.9,57
1637,8. Journey to the Center of the Earth,2008,1h 33m,PG,5.8,57
1638,9. Solomon Kane,2009,1h 44m,R,6.1,48
1639,0. The Boss Baby,2017,1h 37m,PG,6.3,50
1640,1. Girls Trip,2017,2h 2m,R,6.2,71
1641,2. Elephant,2003,1h 21m,R,7.1,70
1642,3. Fighting with My Family,2019,1h 48m,PG-13,7.1,68
1643,4. Nanny McPhee,2005,1h 37m,PG,6.6,59
1644,5. Kung Fu Panda 2,2011,1h 30m,PG,7.3,67
1645,6. Someone Like You,2024,1h 58m,PG,6.8,0
1646,7. Felony,2013,1h 45m,TV-MA,6.1,52
1647,8. Power Rangers,2017,2h 4m,PG-13,5.9,44
1648,9. Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,PG-13,6.3,0
1649,0. The Gift,2000,1h 51m,R,6.7,62
1650,1. Ralph Breaks the Internet,2018,1h 52m,PG,7.0,71
1651,2. Io Capitano,2023,2h 1m,Not Rated,7.6,79
1652,3. You're Next,2011,1h 35m,R,6.6,66
1653,4. Zombieland: Double Tap,2019,1h 39m,R,6.7,55
1654,5. The Best of Me,2014,1h 58m,PG-13,6.7,29
1655,6. G.I. Joe: The Rise of Cobra,2009,1h 58m,PG-13,5.7,32
1656,7. Prom Dates,2024,1h 26m,No,5.1,44
1657,8. The Sorcerer's Apprentice,2010,1h 49m,PG,6.1,46
1658,9. I Am Sam,2001,2h 12m,PG-13,7.6,28
1659,0. Amy,2015,2h 8m,R,7.8,85
1660,1. Last Seen Alive,2022,1h 35m,R,5.7,0
1661,2. The Transporter,2002,1h 32m,PG-13,6.8,51
1662,3. Paprika,2006,1h 30m,R,7.7,81
1663,4. 21,2008,2h 3m,PG-13,6.8,48
1664,5. Hollow Man,2000,1h 52m,R,5.8,24
1665,6. Problemista,2023,1h 44m,R,6.8,71
1666,7. The Expendables 2,2012,1h 43m,R,6.6,51
1667,8. Garfield: A Tail of Two Kitties,2006,1h 22m,PG,5.0,37
1668,9. Beauty and the Beast,2014,1h 52m,PG-13,6.4,39
1669,0. Up in the Air,2009,1h 49m,R,7.4,83
1670,1. Breakwater,2023,1h 37m,R,5.2,0
1671,2. The Secret Life of Pets,2016,1h 26m,PG,6.5,61
1672,3. In the Shadow of the Moon,2019,1h 55m,TV-MA,6.2,48
1673,4. Far from the Madding Crowd,2015,1h 59m,PG-13,7.1,71
1674,5. Freaks,2018,1h 45m,R,6.7,63
1675,6. Guillermo del Toro's Pinocchio,2022,1h 57m,PG,7.6,79
1676,7. Mother's Day,2016,1h 58m,PG-13,5.6,18
1677,8. The Gambler,2014,1h 51m,R,6.0,55
1678,9. Ruby Gillman: Teenage Kraken,2023,1h 31m,PG,5.7,50
1679,0. The Blackening,2022,1h 37m,R,6.0,67
1680,1. Peter Pan,2003,1h 53m,PG,6.8,64
1681,2. Allied,2016,2h 4m,R,7.1,60
1682,3. Ponyo,2008,1h 41m,G,7.6,86
1683,4. Grindhouse,2007,3h 11m,R,7.5,77
1684,5. I Am Number Four,2011,1h 51m,PG-13,6.1,36
1685,6. Dog,2022,1h 41m,PG-13,6.5,61
1686,7. Papillon,2017,2h 13m,R,7.2,51
1687,8. Magic Mike,2012,1h 50m,R,6.1,72
1688,9. Alexander,2004,2h 55m,R,5.6,40
1689,0. Zack and Miri Make a Porno,2008,1h 41m,R,6.5,56
1690,1. Creed III,2023,1h 56m,PG-13,6.7,73
1691,2. Meet the Robinsons,2007,1h 35m,G,6.8,61
1692,3. Nomadland,2020,1h 47m,R,7.3,87
1693,4. Dirty Grandpa,2016,1h 42m,R,5.9,21
1694,5. Samaritan,2022,1h 42m,PG-13,5.7,45
1695,6. They Cloned Tyrone,2023,2h 2m,R,6.6,74
1696,7. Day Shift,2022,1h 53m,R,6.1,51
1697,8. The Silencing,2020,1h 33m,R,6.3,0
1698,9. Before the Devil Knows You're Dead,2007,1h 57m,R,7.3,86
1699,0. Babel,2006,2h 23m,R,7.5,69
1700,1. Spencer,2021,1h 57m,R,6.6,76
1701,2. Scream 4,2011,1h 51m,R,6.2,52
1702,3. Meet the Fockers,2004,1h 55m,PG-13,6.3,41
1703,4. The Upside,2017,2h 6m,PG-13,7.0,46
1704,5. Deja Vu,2006,2h 6m,PG-13,7.1,59
1705,6. Begin Again,2013,1h 44m,R,7.4,62
1706,7. Savages,2012,2h 11m,R,6.4,59
1707,8. Crank: High Voltage,2009,1h 36m,R,6.1,41
1708,9. The Perfect Storm,2000,2h 10m,PG-13,6.5,59
1709,0. National Treasure: Book of Secrets,2007,2h 4m,PG,6.5,48
1710,1. The Mitchells vs. the Machines,2021,1h 54m,PG,7.6,81
1711,2. Youth,2015,2h 4m,R,7.3,64
1712,3. The Great Escaper,2023,1h 36m,No,7.0,68
1713,4. Devotion,2022,2h 19m,PG-13,6.6,66
1714,5. The Fall,2006,1h 57m,R,7.8,64
1715,6. Outlaw King,2018,2h 1m,R,6.9,59
1716,7. The Time Machine,2002,1h 36m,PG-13,6.0,42
1717,8. The Chronicles of Riddick,2004,1h 59m,R,6.6,38
1718,9. Charlie's Angels,2019,1h 58m,PG-13,5.0,52
1719,0. Finch,2021,1h 55m,PG-13,6.9,57
1720,1. 1408,2007,1h 44m,PG-13,6.8,64
1721,2. The Wrestler,2008,1h 49m,R,7.9,80
1722,3. White House Down,2013,2h 11m,PG-13,6.3,52
1723,4. The Spiderwick Chronicles,2008,1h 36m,PG,6.5,62
1724,5. The Lizzie McGuire Movie,2003,1h 34m,PG,5.5,56
1725,6. Assassination,2015,2h 20m,Not Rated,7.2,64
1726,7. Bleed for This,2016,1h 57m,R,6.8,62
1727,8. Spenser Confidential,2020,1h 51m,R,6.2,49
1728,9. The Three Musketeers,2011,1h 50m,PG-13,5.7,35
1729,0. Safe Haven,2013,1h 55m,PG-13,6.7,34
1730,1. The Grudge,2004,1h 31m,PG-13,5.9,49
1731,2. RocknRolla,2008,1h 54m,R,7.2,53
1732,3. Love Again,2023,1h 44m,PG-13,5.9,32
1733,4. Long Shot,2019,2h 5m,R,6.8,67
1734,5. Horrible Bosses,2011,1h 38m,R,6.9,57
1735,6. Bloodshot,2020,1h 49m,PG-13,5.7,44
1736,7. No Escape,2015,1h 43m,R,6.7,38
1737,8. Maleficent: Mistress of Evil,2019,1h 59m,PG,6.6,43
1738,9. Spiderhead,2022,1h 46m,R,5.5,54
1739,0. Adaptation.,2002,1h 55m,R,7.7,83
1740,1. The Illusionist,2006,1h 50m,PG-13,7.5,68
1741,2. The Stranger,2022,1h 57m,TV-MA,6.6,74
1742,3. The Shallows,2016,1h 26m,PG-13,6.3,59
1743,4. House of Wax,2005,1h 53m,R,5.5,41
1744,5. Last Vegas,2013,1h 45m,PG-13,6.6,48
1745,6. Rise of the Footsoldier,2007,1h 59m,R,6.8,0
1746,7. Drive My Car,2021,2h 59m,Unrated,7.5,91
1747,8. Punch-Drunk Love,2002,1h 35m,R,7.3,78
1748,9. The Chronicles of Narnia: Prince Caspian,2008,2h 30m,PG,6.5,62
1749,0. Funny Games,2007,1h 51m,R,6.5,44
1750,1. The Post,2017,1h 56m,PG-13,7.2,83
1751,2. Central Intelligence,2016,1h 47m,PG-13,6.3,52
1752,3. Love and Monsters,2020,1h 49m,PG-13,6.9,63
1753,4. Unhinged,2020,1h 30m,R,6.0,40
1754,5. Anthropoid,2016,2h,R,7.2,59
1755,6. Bolt,2008,1h 36m,PG,6.8,67
1756,7. Palmer,2021,1h 50m,R,7.3,53
1757,8. Bedazzled,2000,1h 33m,PG-13,6.1,49
1758,9. Hidden,2015,1h 24m,R,6.4,0
1759,0. The Hating Game,2021,1h 42m,R,6.2,0
1760,1. Over the Hedge,2006,1h 23m,PG,6.7,67
1761,2. Becky,2020,1h 33m,R,6.0,54
1762,3. 30 Days of Night,2007,1h 53m,R,6.6,53
1763,4. Jack the Giant Slayer,2013,1h 54m,PG-13,6.3,51
1764,5. Jeepers Creepers 2,2003,1h 44m,R,5.7,36
1765,6. Sympathy for the Devil,2023,1h 30m,Unrated,5.5,54
1766,7. The Toxic Avenger,2023,1h 42m,R,5.9,66
1767,8. Tulip Fever,2017,1h 45m,R,6.2,38
1768,9. Green Street Hooligans,2005,1h 49m,R,7.4,55
1769,0. Your Place or Mine,2023,1h 49m,PG-13,5.7,49
1770,1. What Jennifer Did,2024,1h 27m,TV-14,6.0,0
1771,2. Footloose,2011,1h 53m,PG-13,5.8,58
1772,3. Shortbus,2006,1h 41m,Not Rated,6.4,64
1773,4. Wild Card,2015,1h 32m,R,5.6,40
1774,5. Mr. Manhattan,2024,8.8 (29)Rate,No,8.8,0
1775,6. John and the Hole,2021,1h 43m,R,5.2,61
1776,7. Harold & Kumar Go to White Castle,2004,1h 28m,R,7.0,64
1777,8. Redemption,2013,1h 40m,R,6.2,43
1778,9. Kate,2021,1h 46m,R,6.2,47
1779,0. Absolutely Anything,2015,1h 25m,R,6.0,31
1780,1. Freddy vs. Jason,2003,1h 37m,R,5.7,37
1781,2. The Girl with the Dragon Tattoo,2009,2h 32m,R,7.8,76
1782,3. God Is a Bullet,2023,2h 36m,18+,5.7,31
